kokoro|[Kokoro](/kˈOkəɹO/)
hmpf|[hmpf](/hˈəmpf/)
accio|[accio](/əkˈioʊ/)
acromantula|[acromantula](/ˈækɹOmˌænʧələ/)
acromantulas|[acromantulas](/ˈækɹOmˌænʧələz/)
animagus|[animagus](/ˈænəɪmˌæɡəs/)
animagi|[animagi](/ˈænəɪmˌæɡaɪ/)
apparate|[apparate](/ˈæpəɹɹˌAt/)
apparatation|[apparatation](/ˈæpəɹɹˈAʃən/)
crucio|[crucio](/kɹˈusɪˌO/)
avada|[avada](/ævˈɑdə/)
lumos|[lumos](/lˈumOz/)
wingardium|[wingardium](/wɪŋɡˈɑɹdiəm/)
leviosa|[leviosa](/lˈɛvI'ɑsˈæh/)
gilderoy|[Gilderoy](/ɡˈɪldəɹɹˈY/)
fwooper|[fwooper](/fwˈupəɹ/)
wh-what|[wh-what](/wˌʌwˌʌt/)
muffliato|[muffliato](/mˌʌflɪˈɑTɒ/)
