aeroplane|airplane
aetiology|etiology
ageing|aging
ageing|aging
ageings|agings
aluminium|aluminum
anaemia|anemia
anaemic|anemic
analyse|analyze
analysed|analyzed
analysers|analyzers
analyses|analyzes
analysing|analyzing
apologise|apologize
apologised|apologized
apologises|apologizes
apologising|apologizing
apologisingly|apologizingly
armour|armor
armoured|armored
armouring|armoring
artefact|artifact
axe|ax
behaviour|behavior
behaviours|behaviors
calibre|caliber
calibres|calibers
cancellations|cancelations
cancelled|canceled
canceller|canceler
cancelling|canceling
catalogue|catalog
catalogues|catalogs
centimetre|centimeter
centimetres|centimeters
centre|center
centres|centers
cheque|check
chequebook|checkbook
chequebooks|checkbooks
chequer|checker
chequered|checkered
chequering|checkering
cheques|checks
colour|color
cosier|cozier
cosiest|coziest
cosiness|coziness
cosy|cozy
councillor|councilor
counsellor|counselor
counsellors|counselors
defence|defense
defenceless|defenseless
defencelessness|defenselessness
defences|defenses
dialogue|dialog
dialogues|dialogs
draught|draft
draughts|drafts
endeavour|endeavor
endeavoured|endeavored
endeavouring|endeavoring
endeavours|endeavors
enrol|enroll
enrolled|enrolled
enrolling|enrolling
enrolment|enrollment
enrols|enrolls
favour|favor
favourable|favorable
favourably|favorably
favoured|favored
favouring|favoring
favourite|favorite
foetal|fetal
foetus|fetus
fuelled|fueled
fuelling|fueling
gaol|jail
gaoled|jailed
gaoling|jailing
gaols|jails
glamour|glamor
glamours|glamors
grey|gray
gynaecologist|gynecologist
gynaecology|gynecology
haemoglobin|hemoglobin
haemophilia|hemophilia
haemorrhage|hemorrhage
haemorrhoid|hemorrhoid
harbour|harbor
harboured|harbored
harbouring|harboring
harbours|harbors
honour|honor
honourable|honorable
honourably|honorably
honoured|honored
honouring|honoring
honours|honors
instalment|installment
instalments|installments
jewellery|jewelry
kerb|curb
kerbs|curbs
kilometre|kilometer
kilometres|kilometers
labour|labor
laboured|labored
labourer|laborer
labouring|laboring
licence|license
licenced|licensed
licences|licenses
licencing|licensing
litre|liter
litres|liters
manoeuvrable|maneuverable
manoeuvre|maneuver
manoeuvred|maneuvered
manoeuvres|maneuvers
manoeuvring|maneuvering
marvellous|marvelous
metre|meter
millimetre|millimeter
millimetres|millimeters
monologue|monolog
monologues|monologs
mould|mold
moulders|molders
moulding|molding
mouldings|moldings
moulds|molds
mouldy|moldy
moustache|mustache
Mr.|mister
Mrs.|missus
Ms.|miss
neighbour|neighbor
neighboured|neighbored
neighbourhood|neighborhood
neighbourhoods|neighborhoods
neighbouring|neighboring
neighbourly|neighborly
neighbours|neighbors
odour|odor
odours|odors
oesophagus|esophagus
oestrogen|estrogen
organisation|organization
organisational|organizational
organise|organize
organised|organized
organiser|organizer
organisers|organizers
organising|organizing
paediatric|pediatric
paediatrics|pediatrics
paedophile|pedophile
paralyse|paralyze
paralysed|paralyzed
paralyses|paralyzes
paralysing|paralyzing
plough|plow
ploughing|plowing
ploughs|plows
practise|practice
practised|practiced
practising|practicing
programme|program
programmes|programs
pygmy|pigmy
pyjama|pajama
pyjamas|pajamas
quarrelled|quarreled
quarrelling|quarreling
quarrellous|quarreless
quarrels|quarrels
realise|realize
realised|realized
realising|realizing
recognisable|recognizable
recognisably|recognizably
recognise|recognize
recognised|recognized
recognises|recognizes
recognising|recognizing
recognisingly|recognizingly
rumour|rumor
rumours|rumors
sabre|saber
saviour|savior
sceptic|skeptic
sceptical|skeptical
scepticism|skepticism
sceptre|scepter
skilful|skillful
smoulder|smolder
smouldered|smoldered
smouldering|smoldering
storey|story
storeys|stories
sulphates|sulfates
sulphide|sulfide
sulphur|sulfur
sulphurous|sulfurous
theatre|theater
theatres|theaters
tonne|ton
tonnes|tons
travelled|traveled
traveller|traveler
travellers|travelers
travelling|traveling
tumour|tumor
tumours|tumors
tyre|tire
tyres|tires
valour|valor
vigour|vigor
vigours|vigors
